Año;Tipo territorio;Código territorio;Territorio;Edad;Nacionalidad;Sexo;Valor;Estado dato
2022;Municipios;1317;San Lorenzo de El Escorial;Total;Total;Total;18471;
2022;Municipios;1322;San Martín de la Vega;Total;Total;Total;19888;
2022;Municipios;1338;San Martín de Valdeiglesias;Total;Total;Total;8797;
2022;Municipios;1343;San Sebastián de los Reyes;Total;Total;Total;90978;
2022;Municipios;1356;Santa María de la Alameda;Total;Total;Total;1499;
2022;Municipios;1369;Santorcaz;Total;Total;Total;945;
2022;Municipios;1375;Santos de la Humosa (Los);Total;Total;Total;2772;
2022;Municipios;1381;Serna del Monte (La);Total;Total;Total;108;
2022;Municipios;1408;Serranillos del Valle;Total;Total;Total;4542;
2022;Municipios;1415;Sevilla la Nueva;Total;Total;Total;9402;
2022;Municipios;1436;Somosierra;Total;Total;Total;88;
2022;Municipios;1441;Soto del Real;Total;Total;Total;9208;
2022;Municipios;1454;Talamanca de Jarama;Total;Total;Total;4216;
2022;Municipios;1467;Tielmes;Total;Total;Total;2770;
2022;Municipios;1473;Titulcia;Total;Total;Total;1349;
2022;Municipios;1489;Torrejón de Ardoz;Total;Total;Total;135540;
2022;Municipios;1492;Torrejón de la Calzada;Total;Total;Total;9931;
2022;Municipios;1505;Torrejón de Velasco;Total;Total;Total;4682;
2022;Municipios;1512;Torrelaguna;Total;Total;Total;4932;
2022;Municipios;1527;Torrelodones;Total;Total;Total;24717;
2022;Municipios;1533;Torremocha de Jarama;Total;Total;Total;1099;
2022;Municipios;1548;Torres de la Alameda;Total;Total;Total;7691;
2022;Municipios;9036;Tres Cantos;Total;Total;Total;50119;
2022;Municipios;1551;Valdaracete;Total;Total;Total;640;
2022;Municipios;1564;Valdeavero;Total;Total;Total;1700;
2022;Municipios;1570;Valdelaguna;Total;Total;Total;1013;
2022;Municipios;1586;Valdemanco;Total;Total;Total;1054;
2022;Municipios;1599;Valdemaqueda;Total;Total;Total;800;
2022;Municipios;1603;Valdemorillo;Total;Total;Total;13430;
2022;Municipios;1610;Valdemoro;Total;Total;Total;79444;
2022;Municipios;1625;Valdeolmos-Alalpardo;Total;Total;Total;4406;
2022;Municipios;1631;Valdepiélagos;Total;Total;Total;625;
2022;Municipios;1646;Valdetorres de Jarama;Total;Total;Total;4845;
2022;Municipios;1659;Valdilecha;Total;Total;Total;3111;
2022;Municipios;1662;Valverde de Alcalá;Total;Total;Total;540;
2022;Municipios;1678;Velilla de San Antonio;Total;Total;Total;12797;
2022;Municipios;1684;Vellón (El);Total;Total;Total;2118;
2022;Municipios;1697;Venturada;Total;Total;Total;2464;
2022;Municipios;1718;Villa del Prado;Total;Total;Total;7072;
2022;Municipios;1701;Villaconejos;Total;Total;Total;3443;
2022;Municipios;1723;Villalbilla;Total;Total;Total;15841;
2022;Municipios;1739;Villamanrique de Tajo;Total;Total;Total;763;
2022;Municipios;1744;Villamanta;Total;Total;Total;2723;
2022;Municipios;1757;Villamantilla;Total;Total;Total;1565;
2022;Municipios;1760;Villanueva de la Cañada;Total;Total;Total;22835;
2022;Municipios;1782;Villanueva de Perales;Total;Total;Total;1661;
2022;Municipios;1776;Villanueva del Pardillo;Total;Total;Total;17370;
2022;Municipios;1795;Villar del Olmo;Total;Total;Total;2225;
2022;Municipios;1809;Villarejo de Salvanés;Total;Total;Total;7610;
2022;Municipios;1816;Villaviciosa de Odón;Total;Total;Total;28123;
2022;Municipios;1821;Villavieja del Lozoya;Total;Total;Total;294;
2022;Municipios;1837;Zarzalejo;Total;Total;Total;1764;
2022;Zonas Estadísticas;03;Este Metropolitano;Total;Total;Total;673085;
2022;Zonas Estadísticas;01;Municipio de Madrid;Total;Total;Total;3267027;
2022;Zonas Estadísticas;07;Nordeste Comunidad;Total;Total;Total;68992;
2022;Zonas Estadísticas;02;Norte Metropolitano;Total;Total;Total;353289;
2022;Zonas Estadísticas;05;Oeste Metropolitano;Total;Total;Total;513870;
2022;Zonas Estadísticas;11;Sierra Central;Total;Total;Total;184077;
2022;Zonas Estadísticas;06;Sierra Norte;Total;Total;Total;45478;
2022;Zonas Estadísticas;10;Sierra Sur;Total;Total;Total;38432;
2022;Zonas Estadísticas;08;Sudeste Comunidad;Total;Total;Total;113429;
2022;Zonas Estadísticas;09;Sudoeste Comunidad;Total;Total;Total;153349;
2022;Zonas Estadísticas;04;Sur Metropolitano;Total;Total;Total;1332226;
2023;Comunidad de Madrid;;Comunidad de Madrid;Total;Total;Total;6871903;
2023;Municipios;0014;Acebeda (La);Total;Total;Total;67;
2023;Municipios;0029;Ajalvir;Total;Total;Total;4875;
2023;Municipios;0035;Alameda del Valle;Total;Total;Total;275;
2023;Municipios;0040;Álamo (El);Total;Total;Total;10298;
2023;Municipios;0053;Alcalá de Henares;Total;Total;Total;198348;
2023;Municipios;0066;Alcobendas;Total;Total;Total;119471;
2023;Municipios;0072;Alcorcón;Total;Total;Total;172845;
2023;Municipios;0088;Aldea del Fresno;Total;Total;Total;3408;
2023;Municipios;0091;Algete;Total;Total;Total;20936;
2023;Municipios;0105;Alpedrete;Total;Total;Total;15452;
2023;Municipios;0112;Ambite;Total;Total;Total;690;
2023;Municipios;0127;Anchuelo;Total;Total;Total;1379;
2023;Municipios;0133;Aranjuez;Total;Total;Total;60998;
2023;Municipios;0148;Arganda del Rey;Total;Total;Total;58623;
2023;Municipios;0151;Arroyomolinos;Total;Total;Total;36102;
2023;Municipios;0164;Atazar (El);Total;Total;Total;104;
2023;Municipios;0170;Batres;Total;Total;Total;1881;
2023;Municipios;0186;Becerril de la Sierra;Total;Total;Total;6267;
2023;Municipios;0199;Belmonte de Tajo;Total;Total;Total;1842;
2023;Municipios;0210;Berrueco (El);Total;Total;Total;821;
2023;Municipios;0203;Berzosa del Lozoya;Total;Total;Total;219;
2023;Municipios;0225;Boadilla del Monte;Total;Total;Total;64635;
2023;Municipios;0231;Boalo (El);Total;Total;Total;8429;
2023;Municipios;0246;Braojos;Total;Total;Total;212;
2023;Municipios;0259;Brea de Tajo;Total;Total;Total;549;
2023;Municipios;0262;Brunete;Total;Total;Total;10992;
2023;Municipios;0278;Buitrago del Lozoya;Total;Total;Total;1954;
2023;Municipios;0284;Bustarviejo;Total;Total;Total;2752;
2023;Municipios;0297;Cabanillas de la Sierra;Total;Total;Total;937;
2023;Municipios;0301;Cabrera (La);Total;Total;Total;2898;
