year,date,territory_type,territory,sex,nationality,age_group,age_min,age_max,population
2021,2021-01-01,Municipios,Acebeda (La),hombres,espanola,De 30-34 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),hombres,espanola,De 35-39 años,,,2
2021,2021-01-01,Municipios,Acebeda (La),hombres,espanola,De 40-44 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),hombres,espanola,De 45-49 años,,,2
2021,2021-01-01,Municipios,Acebeda (La),hombres,espanola,De 5-9 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),hombres,espanola,De 50-54 años,,,3
2021,2021-01-01,Municipios,Acebeda (La),hombres,espanola,De 55-59 años,,,1
2021,2021-01-01,Municipios,Acebeda (La),hombres,espanola,De 60-64 años,,,3
2021,2021-01-01,Municipios,Acebeda (La),hombres,espanola,De 65-69 años,,,5
2021,2021-01-01,Municipios,Acebeda (La),hombres,espanola,De 70-74 años,,,3
2021,2021-01-01,Municipios,Acebeda (La),hombres,espanola,De 75-79 años,,,1
2021,2021-01-01,Municipios,Acebeda (La),hombres,espanola,De 80-84 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),hombres,espanola,De 85-89 años,,,3
2021,2021-01-01,Municipios,Acebeda (La),hombres,espanola,De 90-94 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),hombres,espanola,De 95-99 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),hombres,espanola,Total,,,25
2021,2021-01-01,Municipios,Acebeda (La),hombres,extranjera,De 0-4 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),hombres,extranjera,De 10-14 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),hombres,extranjera,De 100 y más años,,,0
2021,2021-01-01,Municipios,Acebeda (La),hombres,extranjera,De 15-19 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),hombres,extranjera,De 20-24 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),hombres,extranjera,De 25-29 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),hombres,extranjera,De 30-34 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),hombres,extranjera,De 35-39 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),hombres,extranjera,De 40-44 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),hombres,extranjera,De 45-49 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),hombres,extranjera,De 5-9 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),hombres,extranjera,De 50-54 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),hombres,extranjera,De 55-59 años,,,1
2021,2021-01-01,Municipios,Acebeda (La),hombres,extranjera,De 60-64 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),hombres,extranjera,De 65-69 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),hombres,extranjera,De 70-74 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),hombres,extranjera,De 75-79 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),hombres,extranjera,De 80-84 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),hombres,extranjera,De 85-89 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),hombres,extranjera,De 90-94 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),hombres,extranjera,De 95-99 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),hombres,extranjera,Total,,,1
2021,2021-01-01,Municipios,Acebeda (La),hombres,,De 0-4 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),hombres,,De 10-14 años,,,1
2021,2021-01-01,Municipios,Acebeda (La),hombres,,De 100 y más años,,,0
